"ims_org_id","pred.y"
"INS00006082",12816357.6289323
"INS00006083",328923.479554692
"INS00001028",332880.267735119
"INS00001187",5937537.75964641
"INS00001191",6897310.07897708
"INS00005413",24532946.3755806
"INS00005414",330202.354572095
"INS00005477",12591324.2014008
"INS00005478",2967026.39260429
"INS00005486",8228704.63502495
"INS00006136",7813953.27267683
"INS00006722",364486.098305819
"INS00544683",331416.846837174
"INS00001764",3696544.70927988
"INS00001766",2980008.12625664
"INS00002147",330844.532939015
"INS00002170",2530336.36190386
"INS00002199",605777.899180668
"INS00002213",827030.71532345
"INS00006820",19009160.2673806
"INS00006821",329007.66879851
"INS00001763",8413337.99897566
"INS00001186",4004746.81956347
"INS00001765",5027236.62208313
"INS00480864",329265.421099028
"INS00002225",2693991.44211076
"INS00000681",329414.711511472
"INS00000954",484806.690426902
"INS00000970",4601660.22076218
"INS00002205",5037261.01606717
"INS00637843",7641853.12235461
"INS00005513",328476.517728991
"INS00005514",16159113.8985223
"INS00005515",23769565.909914
"INS00649265",328113.509806837
"INS00649278",330354.469691327
"INS01180572",328978.130945447
"INS00005426",327375.245714667
"INS00001566",328056.649417253
"INS00002123",9086658.59534239
"INS00002172",1570107.00315259
"INS00002177",32538.3663468194
"INS00002185",4577556.85222315
"INS00002244",6035004.20374556
"INS00002251",5525975.00105321
"INS00002252",6071203.92660436
"INS00005206",17252812.0160894
"INS00005475",7536979.82303865
"INS00005476",11636932.0883306
"INS00005487",19336613.5512769
"INS00005489",6825385.42584635
"INS00005495",1173235.55695132
"INS00006720",12456955.4415695
"INS00106678",328587.547493849
"INS00565103",329210.954912283
"INS00005061",5895243.79889591
"INS00005480",11482503.3029552
"INS00005493",14463188.9923665
"INS00005511",1234541.84311586
"INS00005060",8127483.33089341
"INS00005481",6406522.43227874
"INS00002193",4316502.29759497
"INS00002231",4679763.54076861
"INS00005432",7921279.61632766
"INS00005506",940006.566663699
"INS00005510",991751.851092169
"INS00006844",7784441.18190739
"INS00006845",3587684.89670865
"INS00569538",329370.537588457
"INS00001640",5209074.46300265
"INS00001641",14979808.8645362
"INS00001684",9348078.0989127
"INS00002124",3814113.91972429
"INS00002174",4235420.98618695
"INS00002229",4118917.62885441
"INS00002243",21215081.0895146
"INS00005507",9617862.8901078
"INS00005509",330863.050678593
"INS00005512",8694817.48837506
"INS00006846",1129881.10370519
"INS00107599",8919803.75616446
"INS00005508",2434349.15371762
